[01 12 01:34:11] [INFO]  server.photoSearcher/23 || Can't find target:./images/OperationIcon/operationEnd.png
[01 12 01:34:11] [INFO]  __main__/30 || Can't find button:operationEnd
[01 12 01:34:16] [INFO]  __main__/25 || current Operate:operationEnd
[01 12 01:34:16] [INFO]  server.windowManipulator/69 || image save succeed||path=./images/ScreenShots/1_12_1_34_16.png||spendTime=0.42263031005859375Second
[01 12 01:34:16] [INFO]  server.photoSearcher/23 || Can't find target:./images/OperationIcon/operationEnd.png
[01 12 01:34:16] [INFO]  __main__/30 || Can't find button:operationEnd
[01 12 01:34:21] [INFO]  __main__/25 || current Operate:operationEnd
[01 12 01:34:22] [INFO]  server.windowManipulator/69 || image save succeed||path=./images/ScreenShots/1_12_1_34_21.png||spendTime=0.4226658344268799Second
[01 12 01:34:22] [INFO]  server.photoSearcher/23 || Can't find target:./images/OperationIcon/operationEnd.png
[01 12 01:34:22] [INFO]  __main__/30 || Can't find button:operationEnd
[01 12 01:34:27] [INFO]  __main__/25 || current Operate:operationEnd
[01 12 01:34:27] [INFO]  server.windowManipulator/69 || image save succeed||path=./images/ScreenShots/1_12_1_34_27.png||spendTime=0.3977670669555664Second
[01 12 01:34:27] [INFO]  server.photoSearcher/23 || Can't find target:./images/OperationIcon/operationEnd.png
[01 12 01:34:27] [INFO]  __main__/30 || Can't find button:operationEnd
[01 12 01:34:32] [INFO]  __main__/25 || current Operate:operationEnd
[01 12 01:34:33] [INFO]  server.windowManipulator/69 || image save succeed||path=./images/ScreenShots/1_12_1_34_32.png||spendTime=0.36255383491516113Second
[01 12 01:34:33] [INFO]  server.photoSearcher/23 || Can't find target:./images/OperationIcon/operationEnd.png
[01 12 01:34:33] [INFO]  __main__/30 || Can't find button:operationEnd
[01 12 01:34:38] [INFO]  __main__/25 || current Operate:operationEnd
[01 12 01:34:38] [INFO]  server.windowManipulator/69 || image save succeed||path=./images/ScreenShots/1_12_1_34_38.png||spendTime=0.38604164123535156Second
[01 12 01:34:38] [INFO]  server.photoSearcher/23 || Can't find target:./images/OperationIcon/operationEnd.png
[01 12 01:34:38] [INFO]  __main__/30 || Can't find button:operationEnd
[01 12 01:34:43] [INFO]  __main__/25 || current Operate:operationEnd
[01 12 01:34:44] [INFO]  server.windowManipulator/69 || image save succeed||path=./images/ScreenShots/1_12_1_34_43.png||spendTime=0.411409854888916Second
[01 12 01:46:34] [INFO]  server.windowManipulator/43 || getGameWindow success...
[01 12 01:46:34] [INFO]  __main__/25 || current Operate:startOperation
[01 12 01:46:34] [INFO]  server.windowManipulator/69 || image save succeed||path=./images/ScreenShots/1_12_1_46_34.png||spendTime=0.3400454521179199Second
[01 12 01:46:44] [INFO]  __main__/25 || current Operate:startOperationInOperatorView
[01 12 01:46:44] [INFO]  server.windowManipulator/69 || image save succeed||path=./images/ScreenShots/1_12_1_46_44.png||spendTime=0.32100868225097656Second
[01 12 01:46:54] [INFO]  __main__/25 || current Operate:operationEnd
[01 12 01:46:55] [INFO]  server.windowManipulator/69 || image save succeed||path=./images/ScreenShots/1_12_1_46_54.png||spendTime=0.44561195373535156Second
[01 12 01:46:55] [INFO]  server.photoSearcher/23 || Can't find target:./images/OperationIcon/operationEnd.png
